UserId,20241112_Subject1_RR
Song History
Date,Song Name,RDorsiflexion Hit,RDorsiflexion Miss,LPlantarflexion Hit,LPlantarflexion Miss,LDorsiflexion Hit,LDorsiflexion Miss,RPlantarflexion Hit,RPlantarflexion Miss,Total Hit,Total Miss,Final Score,Worst Gesture
2024-11-12 18:39:16,Goin' Under,3,22,11,12,2,21,12,10,28,65,2800,LDorsiflexion(8.70%)
2024-11-12 18:44:11,Goin' Under,9,16,13,10,8,15,15,7,45,48,4500,LDorsiflexion(34.78%)
2024-11-12 18:47:59,Goin' Under,10,15,13,10,11,12,14,8,48,45,4800,RDorsiflexion(40.00%)
