UserId,20241117_Subject1_RR
Song History
Date,Song Name,RDorsiflexion Hit,RDorsiflexion Miss,LPlantarflexion Hit,LPlantarflexion Miss,LDorsiflexion Hit,LDorsiflexion Miss,RPlantarflexion Hit,RPlantarflexion Miss,Total Hit,Total Miss,Final Score,Worst Gesture
2024-11-17 16:00:20,Goin' Under,9,16,17,6,21,2,18,4,65,28,6500,RDorsiflexion(36.00%)
2024-11-17 16:03:56,Goin' Under,6,19,13,10,16,7,12,10,47,46,4700,RDorsiflexion(24.00%)
2024-11-17 16:06:49,Goin' Under,0,25,12,11,18,5,15,7,45,48,4500,RDorsiflexion(0.00%)
