UserId,20241103_Subject1_RR
Song History
Date,Song Name,RDorsiflexion Hit,RDorsiflexion Miss,LPlantarflexion Hit,LPlantarflexion Miss,LDorsiflexion Hit,LDorsiflexion Miss,RPlantarflexion Hit,RPlantarflexion Miss,Total Hit,Total Miss,Final Score,Worst Gesture
2024-11-03 12:14:49,Goin' Under,13,12,11,12,4,19,2,20,30,63,3000,right(9.09%)
2024-11-03 12:18:17,Goin' Under,17,8,14,9,7,16,5,17,43,50,4300,right(22.73%)
2024-11-03 12:20:44,Goin' Under,18,7,19,4,8,15,12,10,57,36,5700,up(34.78%)
