UserId,20241117_Subject2_RR
Song History
Date,Song Name,RDorsiflexion Hit,RDorsiflexion Miss,LPlantarflexion Hit,LPlantarflexion Miss,LDorsiflexion Hit,LDorsiflexion Miss,RPlantarflexion Hit,RPlantarflexion Miss,Total Hit,Total Miss,Final Score,Worst Gesture
2024-11-17 16:27:19,Goin' Under,25,0,1,22,20,3,22,0,68,25,6800,LPlantarflexion(4.35%)
2024-11-17 16:29:40,Goin' Under,25,0,3,20,17,6,22,0,67,26,6700,LPlantarflexion(13.04%)
2024-11-17 16:32:02,Goin' Under,23,2,4,19,13,10,22,0,62,31,6200,LPlantarflexion(17.39%)
