UserId,20241119_Subject2_RR,,,,,,,,,,,,
Song History,,,,,,,,,,,,,
Date,Song Name,RDorsiflexion Hit,RDorsiflexion Miss,LPlantarflexion Hit,LPlantarflexion Miss,LDorsiflexion Hit,LDorsiflexion Miss,RPlantarflexion Hit,RPlantarflexion Miss,Total Hit,Total Miss,Final Score,Worst Gesture
11/19/2024 17:33,Goin' Under,1,24,1,22,17,6,12,10,31,62,3100,RDorsiflexion(4.00%)
11/19/2024 17:36,Goin' Under,2,23,3,20,18,5,12,10,35,58,3500,Rdorsiflexion(8.00%)
11/19/2024 17:39,Goin' Under,4,21,3,20,19,4,11,11,37,56,3700,Lplantarflexion(13.04%)
