UserId,20241116_Subject2_RR,,,,,,,,,,,,
Song History,,,,,,,,,,,,,
Date,Song Name,RDorsiflexion Hit,RDorsiflexion Miss,LPlantarflexion Hit,LPlantarflexion Miss,LDorsiflexion Hit,LDorsiflexion Miss,RPlantarflexion Hit,RPlantarflexion Miss,Total Hit,Total Miss,Final Score,Worst Gesture
11/16/2024 13:39,Goin' Under,14,11,19,4,15,8,19,3,67,26,6700,RDorsiflexion(56.00%)
11/16/2024 13:42,Goin' Under,14,11,21,2,16,7,20,2,71,22,7100,RDorsiflexion(56.00%)
11/16/2024 13:44,Goin' Under,21,4,23,0,18,5,19,3,81,12,8100,LDorsiflexion(78.26%)
