UserId,20241116_Subject1_RR
Song History
Date,Song Name,RDorsiflexion Hit,RDorsiflexion Miss,LPlantarflexion Hit,LPlantarflexion Miss,LDorsiflexion Hit,LDorsiflexion Miss,RPlantarflexion Hit,RPlantarflexion Miss,Total Hit,Total Miss,Final Score,Worst Gesture
2024-11-16 12:53:12,Goin' Under,20,5,10,13,18,5,2,20,50,43,5000,RPlantarflexion(9.09%)
2024-11-16 12:55:35,Goin' Under,22,3,11,12,18,5,5,17,56,37,5600,RPlantarflexion(22.73%)
2024-11-16 12:57:56,Goin' Under,24,1,15,8,15,8,10,12,64,29,6400,RPlantarflexion(45.45%)
