UserId,20241108_Subject1_RR,,,,,,,,,,,,
Song History,,,,,,,,,,,,,
Date,Song Name,RDorsiflexion Hit,RDorsiflexion Miss,LPlantarflexion Hit,LPlantarflexion Miss,LDorsiflexion Hit,LDorsiflexion Miss,RPlantarflexion Hit,RPlantarflexion Miss,Total Hit,Total Miss,Final Score,Worst Gesture
11/8/2024 18:14,Goin' Under,13,12,11,12,4,19,2,20,30,63,3000,RPlantarflexion(9.09%)
11/8/2024 18:18,Goin' Under,17,8,14,9,7,16,5,17,43,50,4300,RPlantarflexion(22.73%)
11/8/2024 18:20,Goin' Under,18,7,19,4,8,15,12,10,57,36,5700,LDorsiflexion(34.78%)
